Data Source Name,Description,Owner,Access Method,Update Frequency,Sample File / Table,Path,Date Key,Source Type,Version,Last Updated
Historical Show-Level Sales CSV,Aggregated show-level single tickets by city for Alberta Ballet productions.,Finance / Analytics,"CSV on shared drive / data lake (e.g., history_city_sales.csv).",Ad hoc / after each season load.,history_city_sales.csv,data/productions/history_city_sales.csv,opening_date,internal,1.0,2024-01-01
Ticketing Transaction Database,"Performance- and ticket-level data: ticket type, price, channel, timestamps, promo codes, comps.",Ticketing / IT,Direct DB connection or API; secured credentials.,Daily / near-real-time.,"fact_tickets, dim_price_type, dim_performance.",,transaction_date,internal,1.0,
Ticketing Event & Production Metadata,"Setup tables for productions, seasons, venues, and capacities.",Ticketing / Artistic Admin,DB/API or scheduled CSV exports.,Updated as shows are created/edited.,"dim_production, dim_season, dim_venue.",,performance_date,internal,1.0,
CRM / Customer Database,"Patron profiles, purchase history, segmentation, email permissions.",Marketing / Development,CRM UI + API or scheduled exports.,Daily/Weekly.,"customers, households, interactions.",,updated_at,internal,1.0,
Email Marketing Platform,"Email campaigns, sends, opens, clicks, unsubscribes.",Marketing,"Platform APIs (e.g., Mailchimp/WordFly) or CSV exports.",Per campaign / weekly.,"email_campaigns, email_stats.",,send_date,internal,1.0,
Digital Ads Platforms,"Paid media performance: spend, impressions, clicks, conversions per campaign.",Marketing / Digital Agency,Meta/Google Ads APIs or agency reports.,Daily/Weekly.,ad_campaign_performance.,,date,external_marketing,1.0,
Marketing Budget Spreadsheets,Planned and actual spend by production and city.,Marketing / Finance,Excel/Google Sheets in shared drive.,Monthly / seasonal planning.,Marketing_Budget_YYYY-YY.xlsx.,,season,internal,1.0,
Production Planning Sheets/DB,"Artistic information: premiere vs revival, run_type, guest stars, collaborators.",Artistic Director / Artistic Admin,Spreadsheets or internal database.,Seasonal.,SeasonYYYY_Productions.xlsx.,,season,internal,1.0,
Venue Capacity Reference,Seat maps and capacity by price zone and configuration.,Production / Ticketing,Static CSV or database table; occasionally updated.,Rarely.,venue_capacity.csv,data/productions/venue_capacity.csv,,internal,1.0,
External Economic Data,"Alberta unemployment, CPI, GDP and related macro indicators.",Analytics,Download from Statistics Canada / Alberta Govt portals.,Monthly/Quarterly.,alberta_macro.csv,data/economics/alberta_macro.csv,date,external_economic,1.0,
External Weather Data,"Daily temperature, precipitation, extreme weather flags for Calgary and Edmonton.",Analytics,Environment Canada API or CSV downloads.,Daily / historical backfill.,weather_daily_city.csv,,date,external_weather,1.0,
External Events & Sports Calendars,"Major events (Stampede, concerts, NHL games) that may compete with performances.",Marketing / Analytics,Manual spreadsheets or scraped event listings.,Seasonal.,city_events_calendar.csv,,event_date,external_events,1.0,
Tourism & Population Data,Population estimates and visitor volumes for Calgary and Edmonton.,Analytics,StatsCan and Travel Alberta downloads.,Annual/Seasonal.,city_population_tourism.csv,,year,external_demographic,1.0,
Google Trends Export,Search interest indices for production titles and ballet-related terms.,Analytics,Google Trends UI/API wrapper; CSV exports.,Per campaign / ad hoc.,google_trends_titles.csv,,date,external_trends,1.0,
PredictHQ Events API,"Predicted attendance, event rank, and demand features for events in Calgary/Edmonton during run windows.",Analytics / Marketing,PredictHQ REST API with API key (PREDICTHQ_API_KEY); Python client or CSV exports.,On-demand / before season planning.,predicthq_events.csv,data/predicthq/predicthq_events.csv,phq_start_date,external_predicthq,1.0,
PredictHQ Spend API,Estimated local consumer spend driven by events during run windows.,Analytics / Marketing,PredictHQ Spend API with API key; aggregated by location and date range.,On-demand / before season planning.,predicthq_spend.csv,data/predicthq/predicthq_spend.csv,date,external_predicthq,1.0,
PredictHQ Severe Weather API,Severe weather alerts and advisories for Alberta cities.,Analytics,PredictHQ API filtered to severe-weather category.,On-demand or daily during run window.,predicthq_weather.csv,data/predicthq/predicthq_weather.csv,date,external_predicthq,1.0,
Nanos Consumer Confidence Index,Bloomberg Nanos Canadian Consumer Confidence Index with demographic breakdowns and expectations.,Analytics,Nanos Research weekly reports; CSV export.,Weekly,nanos_consumer_confidence.csv,data/economics/nanos_consumer_confidence.csv,year_or_period,external_economic,1.0,2025-11-21
Nanos Better Off Survey,"Nanos survey data on consumer financial outlook, cost of living impacts, and housing worry.",Analytics,Nanos Research quarterly reports; CSV export.,Quarterly,nanos_better_off.csv,data/economics/nanos_better_off.csv,period,external_economic,1.0,2025-09-01
Commodity Price Index,Bank of Canada commodity price indices including Energy (A.ENER) for Alberta economy tracking.,Analytics,Bank of Canada data downloads.,Monthly,commodity_price_index.csv,data/economics/commodity_price_index.csv,date,external_economic,1.0,2024-01-01
Bank of Canada CPI Monthly,Monthly Consumer Price Index data for inflation adjustment calculations.,Analytics,Bank of Canada / Statistics Canada downloads.,Monthly,boc_cpi_monthly.csv,data/economics/boc_cpi_monthly.csv,date,external_economic,1.0,2025-10-01
Calgary Census 2021,"2021 Census data for Calgary CMA including population, demographics, income, and housing.",Analytics,Statistics Canada Census downloads.,Decennial,calgary_census_2021.csv,data/demographics/calgary_census_2021.csv,census_year,demographic,1.0,2021-05-11
Edmonton Census 2021,"2021 Census data for Edmonton CMA including population, demographics, income, and housing.",Analytics,Statistics Canada Census downloads.,Decennial,edmonton_census_2021.csv,data/demographics/edmonton_census_2021.csv,census_year,demographic,1.0,2021-05-11
