date,business_exits,date_label
2015-01-01,2253,2015-01-01T00:00:00
2015-02-01,2310,2015-02-01T00:00:00
2015-03-01,2325,2015-03-01T00:00:00
2015-04-01,2544,2015-04-01T00:00:00
2015-05-01,2476,2015-05-01T00:00:00
2015-06-01,2474,2015-06-01T00:00:00
2015-07-01,2582,2015-07-01T00:00:00
2015-08-01,2537,2015-08-01T00:00:00
2015-09-01,2532,2015-09-01T00:00:00
2015-10-01,2602,2015-10-01T00:00:00
2015-11-01,2593,2015-11-01T00:00:00
2015-12-01,2491,2015-12-01T00:00:00
2016-01-01,2481,2016-01-01T00:00:00
2016-02-01,2646,2016-02-01T00:00:00
2016-03-01,2609,2016-03-01T00:00:00
2016-04-01,2575,2016-04-01T00:00:00
2016-05-01,2700,2016-05-01T00:00:00
2016-06-01,1981,2016-06-01T00:00:00
2016-07-01,3302,2016-07-01T00:00:00
2016-08-01,2545,2016-08-01T00:00:00
2016-09-01,2417,2016-09-01T00:00:00
2016-10-01,2382,2016-10-01T00:00:00
2016-11-01,2993,2016-11-01T00:00:00
2016-12-01,2464,2016-12-01T00:00:00
2017-01-01,2448,2017-01-01T00:00:00
2017-02-01,2121,2017-02-01T00:00:00
2017-03-01,2410,2017-03-01T00:00:00
2017-04-01,2317,2017-04-01T00:00:00
2017-05-01,2172,2017-05-01T00:00:00
2017-06-01,2217,2017-06-01T00:00:00
2017-07-01,2297,2017-07-01T00:00:00
2017-08-01,2275,2017-08-01T00:00:00
2017-09-01,2466,2017-09-01T00:00:00
2017-10-01,2340,2017-10-01T00:00:00
2017-11-01,1917,2017-11-01T00:00:00
2017-12-01,2293,2017-12-01T00:00:00
2018-01-01,2305,2018-01-01T00:00:00
2018-02-01,2203,2018-02-01T00:00:00
2018-03-01,2295,2018-03-01T00:00:00
2018-04-01,2218,2018-04-01T00:00:00
2018-05-01,2345,2018-05-01T00:00:00
2018-06-01,2222,2018-06-01T00:00:00
2018-07-01,2231,2018-07-01T00:00:00
2018-08-01,2651,2018-08-01T00:00:00
2018-09-01,2238,2018-09-01T00:00:00
2018-10-01,2274,2018-10-01T00:00:00
2018-11-01,3810,2018-11-01T00:00:00
2018-12-01,2191,2018-12-01T00:00:00
2019-01-01,2199,2019-01-01T00:00:00
2019-02-01,2191,2019-02-01T00:00:00
2019-03-01,2141,2019-03-01T00:00:00
2019-04-01,2182,2019-04-01T00:00:00
2019-05-01,2250,2019-05-01T00:00:00
2019-06-01,2384,2019-06-01T00:00:00
2019-07-01,2303,2019-07-01T00:00:00
2019-08-01,2390,2019-08-01T00:00:00
2019-09-01,2476,2019-09-01T00:00:00
2019-10-01,2298,2019-10-01T00:00:00
2019-11-01,2319,2019-11-01T00:00:00
2019-12-01,2297,2019-12-01T00:00:00
2020-01-01,2380,2020-01-01T00:00:00
2020-02-01,2157,2020-02-01T00:00:00
2020-03-01,2448,2020-03-01T00:00:00
2020-04-01,3449,2020-04-01T00:00:00
2020-05-01,2581,2020-05-01T00:00:00
2020-06-01,1983,2020-06-01T00:00:00
2020-07-01,1989,2020-07-01T00:00:00
2020-08-01,1766,2020-08-01T00:00:00
2020-09-01,1741,2020-09-01T00:00:00
2020-10-01,1847,2020-10-01T00:00:00
2020-11-01,2417,2020-11-01T00:00:00
2020-12-01,1665,2020-12-01T00:00:00
2021-01-01,1893,2021-01-01T00:00:00
2021-02-01,1926,2021-02-01T00:00:00
2021-03-01,1931,2021-03-01T00:00:00
2021-04-01,2043,2021-04-01T00:00:00
2021-05-01,1720,2021-05-01T00:00:00
2021-06-01,2003,2021-06-01T00:00:00
2021-07-01,1854,2021-07-01T00:00:00
2021-08-01,2052,2021-08-01T00:00:00
2021-09-01,2405,2021-09-01T00:00:00
2021-10-01,1975,2021-10-01T00:00:00
2021-11-01,2016,2021-11-01T00:00:00
2021-12-01,2108,2021-12-01T00:00:00
2022-01-01,1899,2022-01-01T00:00:00
2022-02-01,2095,2022-02-01T00:00:00
2022-03-01,2036,2022-03-01T00:00:00
2022-04-01,1889,2022-04-01T00:00:00
2022-05-01,1964,2022-05-01T00:00:00
2022-06-01,1929,2022-06-01T00:00:00
2022-07-01,2438,2022-07-01T00:00:00
2022-08-01,2045,2022-08-01T00:00:00
2022-09-01,2079,2022-09-01T00:00:00
2022-10-01,2218,2022-10-01T00:00:00
2022-11-01,2147,2022-11-01T00:00:00
2022-12-01,1984,2022-12-01T00:00:00
2023-01-01,1933,2023-01-01T00:00:00
2023-02-01,2063,2023-02-01T00:00:00
2023-03-01,1976,2023-03-01T00:00:00
2023-04-01,2057,2023-04-01T00:00:00
2023-05-01,2089,2023-05-01T00:00:00
2023-06-01,2085,2023-06-01T00:00:00
2023-07-01,1994,2023-07-01T00:00:00
2023-08-01,2053,2023-08-01T00:00:00
2023-09-01,2483,2023-09-01T00:00:00
2023-10-01,1976,2023-10-01T00:00:00
2023-11-01,2117,2023-11-01T00:00:00
2023-12-01,2260,2023-12-01T00:00:00
2024-01-01,2470,2024-01-01T00:00:00
2024-02-01,2357,2024-02-01T00:00:00
2024-03-01,2531,2024-03-01T00:00:00
2024-04-01,2561,2024-04-01T00:00:00
2024-05-01,2554,2024-05-01T00:00:00
2024-06-01,2487,2024-06-01T00:00:00
2024-07-01,2581,2024-07-01T00:00:00
2024-08-01,2688,2024-08-01T00:00:00
2024-09-01,2448,2024-09-01T00:00:00
2024-10-01,2697,2024-10-01T00:00:00
2024-11-01,2581,2024-11-01T00:00:00
2024-12-01,2731,2024-12-01T00:00:00
2025-01-01,2711,2025-01-01T00:00:00
2025-02-01,2569,2025-02-01T00:00:00
