date,farm_cash_receipts,date_label
2010-10-01,2357829000,2010-10-01T00:00:00
2011-01-01,2698037000,2011-01-01T00:00:00
2011-04-01,2489534000,2011-04-01T00:00:00
2011-07-01,2361689000,2011-07-01T00:00:00
2011-10-01,2757700000,2011-10-01T00:00:00
2012-01-01,3499041000,2012-01-01T00:00:00
2012-04-01,2801621000,2012-04-01T00:00:00
2012-07-01,2663075000,2012-07-01T00:00:00
2012-10-01,3067979000,2012-10-01T00:00:00
2013-01-01,3891505000,2013-01-01T00:00:00
2013-04-01,2684377000,2013-04-01T00:00:00
2013-07-01,2674406000,2013-07-01T00:00:00
2013-10-01,2636012000,2013-10-01T00:00:00
2014-01-01,3320994000,2014-01-01T00:00:00
2014-04-01,3134863000,2014-04-01T00:00:00
2014-07-01,3134039000,2014-07-01T00:00:00
2014-10-01,3306804000,2014-10-01T00:00:00
2015-01-01,3654775000,2015-01-01T00:00:00
2015-04-01,3190928000,2015-04-01T00:00:00
2015-07-01,3586011000,2015-07-01T00:00:00
2015-10-01,3175541000,2015-10-01T00:00:00
2016-01-01,3970388000,2016-01-01T00:00:00
2016-04-01,3127183000,2016-04-01T00:00:00
2016-07-01,3156403000,2016-07-01T00:00:00
2016-10-01,3229886000,2016-10-01T00:00:00
2017-01-01,4112571000,2017-01-01T00:00:00
2017-04-01,3452977000,2017-04-01T00:00:00
2017-07-01,3343100000,2017-07-01T00:00:00
2017-10-01,3295513000,2017-10-01T00:00:00
2018-01-01,3849570000,2018-01-01T00:00:00
2018-04-01,3427148000,2018-04-01T00:00:00
2018-07-01,2994443000,2018-07-01T00:00:00
2018-10-01,3335739000,2018-10-01T00:00:00
2019-01-01,4044303000,2019-01-01T00:00:00
2019-04-01,3524625000,2019-04-01T00:00:00
2019-07-01,3449493000,2019-07-01T00:00:00
2019-10-01,3858408000,2019-10-01T00:00:00
2020-01-01,4112956000,2020-01-01T00:00:00
2020-04-01,3368541000,2020-04-01T00:00:00
2020-07-01,3963499000,2020-07-01T00:00:00
2020-10-01,3956690000,2020-10-01T00:00:00
2021-01-01,4788919000,2021-01-01T00:00:00
2021-04-01,3957197000,2021-04-01T00:00:00
2021-07-01,4453561000,2021-07-01T00:00:00
2021-10-01,5565902000,2021-10-01T00:00:00
2022-01-01,6595484000,2022-01-01T00:00:00
2022-04-01,4458200000,2022-04-01T00:00:00
2022-07-01,5344502000,2022-07-01T00:00:00
2022-10-01,5853085000,2022-10-01T00:00:00
2023-01-01,7044688000,2023-01-01T00:00:00
2023-04-01,4851517000,2023-04-01T00:00:00
2023-07-01,5546322000,2023-07-01T00:00:00
2023-10-01,5868030000,2023-10-01T00:00:00
2024-01-01,6826051000,2024-01-01T00:00:00
2024-04-01,5240929000,2024-04-01T00:00:00
2024-07-01,5313660000,2024-07-01T00:00:00
2024-10-01,5701205000,2024-10-01T00:00:00
2025-01-01,7142789000,2025-01-01T00:00:00
2025-04-01,5477140000,2025-04-01T00:00:00
2025-07-01,5873671000,2025-07-01T00:00:00
