title,wiki,trends,youtube,spotify,category,gender
Addams Family,83,26,95,76,pop_ip,male
Alice in Wonderland,83,38,96,68,family_classic,female
All of Us - Tragically Hip,70,52,71,75,pop_ip,co
Away We Go – Mixed Bill,85,46,98,56,contemporary_mixed_bill,female
Balanchine William Forsythe Justin Peck,47,82,53,0,contemporary_mixed_bill,co
Ballet BC,35,18,54,45,touring_contemporary_company,co
Ballet Boyz,33,22,84,34,touring_contemporary_company,male
Beauty and the Beast,75,40,100,83,family_classic,female
Beethoven,88,18,100,55,contemporary,co
BJM - Leonard Cohen,40,38,100,68,pop_ip,co
Botero,70,12,87,49,contemporary,male
Caravaggio,81,20,85,45,adult_literary_drama,male
Charlie Chaplin,93,30,100,41,family_classic,male
Cinderella,80,20,100,72,family_classic,female
Complexions - Lenny Kravitz,37,54,60,79,pop_ip,co
Contemporary Classical,65,44,90,58,contemporary_mixed_bill,co
Coppelia,68,16,85,50,classic_comedy,female
Dance Theatre of Harlem,48,46,70,84,touring_contemporary_company,co
Dangerous Liaisons,75,36,79,36,adult_literary_drama,co
Der Wolf,19,16,81,45,contemporary,female
deViate - Mixed Bill,77,40,70,64,contemporary_mixed_bill,co
Diavolo,46,14,89,50,touring_contemporary_company,co
Die Fledermaus,69,28,86,47,family_classic,female
Don Quixote,85,22,84,61,classic_comedy,co
Dona Peron,83,20,53,11,adult_literary_drama,female
Dracula,83,14,99,86,romantic_tragedy,male
Emma Bovary,75,22,82,25,adult_literary_drama,female
Fiddle & the Drum – Joni Mitchell,44,66,68,25,pop_ip,co
Frankenstein,85,24,92,69,adult_literary_drama,male
Giselle,74,14,89,62,romantic_tragedy,female
Great Gatsby,87,24,100,69,adult_literary_drama,male
Grimm,50,10,89,54,family_classic,female
Handmaid's Tale,82,30,86,37,adult_literary_drama,female
Hansel & Gretel,79,30,94,58,family_classic,co
Jungle Book,76,22,100,59,family_classic,male
La Bayadere,62,22,75,37,romantic_tragedy,female
La Fille mal gardée,59,38,82,47,classic_comedy,female
La Sylphide,61,22,67,30,romantic_tragedy,co
Lady Chatterley's Lover,78,46,87,79,adult_literary_drama,female
Lady Macbeth,72,24,77,35,adult_literary_drama,female
Love in the Time of Cholera,73,54,84,100,adult_literary_drama,male
Midsummer Night’s Dream,82,46,79,47,classic_romance,male
Momix,48,10,70,3,touring_contemporary_company,co
Nijinsky,70,16,69,2,contemporary,male
Once Upon a Time,59,32,0,87,family_classic,co
Opera - the Ballet,44,36,0,32,contemporary_mixed_bill,female
Othello,81,14,0,44,adult_literary_drama,male
Our Canada - Gordon Lightfoot,81,58,92,72,pop_ip,co
Peter Pan,81,18,0,70,family_classic,male
Phi – David Bowie,71,34,0,78,pop_ip,male
Pinocchio,80,18,0,46,family_classic,male
Pulcinella,68,20,0,36,classic_comedy,male
Rite of Spring,74,28,0,43,contemporary,co
Romeo and Juliet,86,32,0,80,romantic_tragedy,co
Shaping Sound,49,26,0,40,touring_contemporary_company,male
Sleeping Beauty,77,30,0,70,classic_romance,female
Swan Lake,80,18,0,71,romantic_tragedy,female
Taj Express,44,22,0,42,touring_contemporary_company,male
Tango Fire,72,20,0,52,touring_contemporary_company,co
The Merry Widow,65,30,0,36,classic_comedy,female
The Stone Angel,57,30,0,78,adult_literary_drama,female
Trockadero,56,20,0,59,touring_contemporary_company,male
Unleashed – Mixed Bill,54,44,0,64,contemporary_mixed_bill,co
Winter Gala,74,22,0,41,contemporary_mixed_bill,co
Wizard of Oz,60,30,0,64,family_classic,female
