city,show_title,start_date,end_date,single_tickets
calgary,Alice in Wonderland,2017-03-16,2017-03-18,4507
edmonton,Alice in Wonderland,2017-03-24,2017-03-25,2029
calgary,All of Us - Tragically Hip,2018-05-02,2018-05-05,7296
edmonton,All of Us - Tragically Hip,2018-05-10,2018-05-12,4081
calgary,Away We Go - Mixed Bill,2022-10-27,2022-10-29,938
edmonton,Away We Go - Mixed Bill,2022-11-04,2022-11-05,630
calgary,Ballet BC,2019-01-17,2019-01-19,874
edmonton,Ballet BC,2019-01-22,2019-01-23,465
calgary,Ballet Boyz,2017-02-16,2017-02-18,1314
edmonton,Ballet Boyz,2017-02-24,2017-02-25,725
calgary,BJM - L Cohen,2018-09-20,2018-09-22,2488
edmonton,BJM - L Cohen,2018-10-02,2018-10-03,1720
calgary,Botero,2023-05-11,2023-05-13,1617
edmonton,Botero,2023-05-26,2023-05-27,714
calgary,Cinderella,2018-03-14,2018-03-17,7290
calgary,Cinderella,2022-04-28,2022-04-30,6666
edmonton,Cinderella,2022-05-05,2022-05-07,4101
edmonton,Cinderella,2018-03-22,2018-03-24,3900
calgary,Complexions - Lenny Kravitz,2023-02-16,2023-02-18,2728
edmonton,Complexions - Lenny Kravitz,2023-02-24,2023-02-25,1237
calgary,Dance Theatre of Harlem,2025-02-13,2025-02-15,2912
edmonton,Dance Theatre of Harlem,2025-02-21,2025-02-22,1603
calgary,Dangerous Liaisons,2017-10-25,2017-10-28,2045
edmonton,Dangerous Liaisons,2017-11-03,2017-11-04,1087
calgary,Der Wolf & Rite of Spring,2024-05-02,2024-05-04,1411
edmonton,Der Wolf & Rite of Spring,2024-05-10,2024-05-11,845
calgary,deViate - Mixed Bill,2019-02-13,2019-02-16,1174
edmonton,deViate - Mixed Bill,2019-02-22,2019-02-23,606
calgary,Diavolo,2020-01-16,2020-01-18,4296
edmonton,Diavolo,2020-01-21,2020-01-22,2646
calgary,Don Quixote,2025-05-01,2025-05-03,1916
edmonton,Don Quixote,2025-05-09,2025-05-10,1033
calgary,Dona Peron,2023-09-14,2023-09-16,1867
edmonton,Dona Peron,2023-09-22,2023-09-23,746
calgary,Dracula,2016-10-27,2016-10-29,4202
edmonton,Dracula,2016-11-04,2016-11-05,2329
calgary,Fiddle and the Drum - Joni Mitchell,2019-05-01,2019-05-04,1465
edmonton,Fiddle and the Drum - Joni Mitchell,2019-05-09,2019-05-11,994
calgary,Frankenstein,2019-10-23,2019-10-26,3885
edmonton,Frankenstein,2019-10-31,2019-11-02,2868
calgary,Giselle,2023-03-16,2023-03-18,3652
edmonton,Giselle,2023-03-31,2023-04-01,2278
calgary,Grimm,2024-10-17,2024-10-19,2300
edmonton,Grimm,2024-10-25,2024-10-26,1405
calgary,Handmaid's Tale,2022-09-14,2022-09-17,2250
edmonton,Handmaid's Tale,2022-09-22,2022-09-24,1441
calgary,Hansel & Gretel,2024-03-07,2024-03-09,2743
edmonton,Hansel & Gretel,2024-03-22,2024-03-23,1905
calgary,La Sylphide,2024-09-12,2024-09-14,1845
edmonton,La Sylphide,2024-09-20,2024-09-21,729
calgary,Midsummer Night's Dream,2019-03-13,2019-03-16,1637
edmonton,Midsummer Night's Dream,2019-03-21,2019-03-23,1366
calgary,Momix,2018-02-15,2018-02-17,2781
edmonton,Momix,2018-02-21,2018-02-22,1605
calgary,Nijinsky,2025-10-16,2025-10-18,973
edmonton,Nijinsky,2025-10-24,2025-10-25,619
calgary,Once Upon a Time,2025-09-11,2025-09-13,1802
edmonton,Once Upon a Time,2025-09-19,2025-09-20,1396
calgary,Our Canada - Gordon Lightfoot,2017-05-04,2017-05-06,3574
edmonton,Our Canada - Gordon Lightfoot,2017-05-12,2017-05-13,1729
calgary,Phi - David Bowie,2022-03-10,2022-03-12,5114
edmonton,Phi - David Bowie,2022-03-31,2022-04-02,2742
calgary,Shaping Sound,2018-01-19,2018-01-20,5516
edmonton,Shaping Sound,2018-01-16,2018-01-17,3205
calgary,Sleeping Beauty,2023-10-26,2023-10-28,4374
calgary,Sleeping Beauty,2018-10-24,2018-10-27,2869
edmonton,Sleeping Beauty,2023-11-03,2023-11-04,3230
edmonton,Sleeping Beauty,2018-11-01,2018-11-04,2526
calgary,Swan Lake,2021-10-21,2021-10-30,5559
edmonton,Swan Lake,2021-11-05,2021-11-07,3631
calgary,Taj Express,2019-09-25,2019-09-28,4090
edmonton,Taj Express,2019-10-04,2019-10-05,2525
calgary,Tango Fire,2017-09-21,2017-09-23,1994
edmonton,Tango Fire,2017-09-27,2017-09-28,1264
calgary,Trockadero,2017-01-12,2017-01-14,3350
edmonton,Trockadero,2017-01-17,2017-01-18,2126
calgary,Unleashed - Mixed Bill,2020-02-12,2020-02-15,1294
edmonton,Unleashed - Mixed Bill,2020-02-21,2020-02-22,706
calgary,Winter Gala,2025-01-18,2025-01-18,390
calgary,Winter Gala,2024-02-15,2024-02-15,447
edmonton,Winter Gala,2025-01-25,2025-01-25,308
edmonton,Winter Gala,2024-02-24,2024-02-24,324
calgary,Wizard of Oz,2025-03-13,2025-03-15,3338

edmonton,Wizard of Oz,2025-03-21,2025-03-22,2294

