title,start_date,end_date
Alice in Wonderland,2017-03-16,2017-03-25
All of Us - Tragically Hip,2018-05-02,2018-05-12
Away We Go – Mixed Bill,2022-10-27,2022-11-05
Ballet BC,2019-01-19,2019-01-23
Ballet Boyz,2017-02-16,2017-02-25
BJM - Leonard Cohen,2018-09-20,2018-09-22
Botero,2023-05-05,2023-05-13
Cinderella,2022-04-28,2022-05-14
Complexions - Lenny Kravitz,2023-02-10,2023-02-18
Dance Theatre of Harlem,2025-02-13,2025-02-22
Dangerous Liaisons,2017-10-26,2017-11-04
deViate - Mixed Bill,2019-02-15,2019-02-16
Diavolo,2020-01-21,2020-01-22
Der Wolf,2024-05-02,2024-05-11
Don Quixote,2025-05-01,2025-05-10
Dona Peron,2023-09-14,2023-09-23
Dracula,2016-10-27,2016-11-05
Fiddle and the Drum - Joni Mitchell,2019-05-01,2019-05-11
Frankenstein,2019-10-23,2019-11-02
Giselle,2023-03-09,2023-03-25
Grimm,2024-10-17,2024-10-26
Handmaid's Tale,2022-09-14,2022-09-24
Hansel & Gretel,2024-03-07,2024-03-23
La Sylphide,2024-09-12,2024-09-21
Midsummer Night's Dream,2019-03-13,2019-03-16
Momix,2018-02-15,2018-02-22
Nijinsky,2025-10-16,2025-10-25
Once Upon a time,2025-09-11,2025-09-20
Our Canada - Gordon Lightfoot,2017-05-04,2017-05-13
Phi – David Bowie,2022-03-10,2022-03-19
Rite of Spring,2024-05-02,2024-05-11
Shaping Sound,2018-01-19,2018-01-20
Sleeping Beauty,2023-10-26,2023-11-04
Swan Lake,2021-10-21,2021-11-07
Taj Express,2019-09-12,2019-09-21
Tango Fire,2017-09-21,2017-09-28
Trockadero,2017-01-12,2017-01-14
Unleashed – Mixed Bill,2020-02-13,2020-02-22
Winter Gala,2025-01-18,2025-01-25
Wizard of Oz,2025-03-13,2025-03-22
