title,wiki,trends,youtube,spotify,category,gender,source,notes
The Nutcracker,95,52,100,82,family_classic,co,external_reference,"Classic Christmas ballet - highest demand title"
The Firebird,74,22,85,48,romantic_tragedy,female,external_reference,"Stravinsky ballet - strong visual appeal"
Le Corsaire,68,18,75,42,romantic_tragedy,male,external_reference,"Classical repertoire piece"
La Traviata,76,24,88,62,adult_literary_drama,female,external_reference,"Opera-adapted dramatic work"
Carmen,82,38,92,75,romantic_tragedy,female,external_reference,"Highly recognizable dramatic story"
Coppélia,68,16,85,50,classic_comedy,female,external_reference,"Light comedy classic"
Raymonda,55,12,65,35,classic_romance,female,external_reference,"Grand classical ballet"
Paquita,52,10,62,32,classic_romance,female,external_reference,"Spanish-themed classical"
Les Sylphides,58,14,70,40,romantic_tragedy,female,external_reference,"Romantic era classic"
Jewels,62,18,72,45,contemporary_mixed_bill,co,external_reference,"Balanchine three-act masterpiece"
Serenade,54,16,68,38,contemporary,co,external_reference,"Neoclassical Balanchine"
Apollo,58,20,70,42,contemporary,male,external_reference,"Greek mythology theme"
The Four Temperaments,48,12,55,30,contemporary,co,external_reference,"Abstract neoclassical"
Theme and Variations,50,14,58,34,contemporary_mixed_bill,co,external_reference,"Balanchine bravura"
Who Cares?,56,22,72,55,pop_ip,co,external_reference,"Gershwin music - crossover appeal"
Billy the Kid,52,18,65,45,contemporary,male,external_reference,"American Western theme"
Rodeo,54,20,68,48,pop_ip,co,external_reference,"American classic with Copland"
Appalachian Spring,60,16,74,52,contemporary,female,external_reference,"Martha Graham classic"
The Little Mermaid,78,35,95,72,family_classic,female,external_reference,"Disney-style family appeal"
Aladdin,80,42,98,78,family_classic,male,external_reference,"High pop culture recognition"
The Snow Queen,70,28,82,58,family_classic,female,external_reference,"Fairy tale classic"
Coppelia,68,16,85,50,classic_comedy,female,external_reference,"Comic ballet classic"
The Taming of the Shrew,68,24,75,45,classic_comedy,male,external_reference,"Shakespeare comedy"
The Two Pigeons,52,12,60,35,classic_romance,co,external_reference,"Romantic story ballet"
Manon,70,22,78,55,romantic_tragedy,female,external_reference,"Dramatic story ballet"
Mayerling,62,18,70,48,adult_literary_drama,male,external_reference,"Dark dramatic work"
Winter Dreams,55,14,65,42,contemporary,female,external_reference,"Chekhov-inspired"
The Leaves Are Fading,48,10,55,35,contemporary_mixed_bill,co,external_reference,"Tudor romantic work"
Onegin,72,26,82,58,romantic_tragedy,male,external_reference,"Pushkin literary classic"
The Lady of the Camellias,65,20,75,52,adult_literary_drama,female,external_reference,"French literary drama"
A Streetcar Named Desire,70,28,80,55,adult_literary_drama,female,external_reference,"Tennessee Williams drama"
The Great Gatsby (2024),85,32,92,68,adult_literary_drama,male,external_reference,"Modern literary adaptation"
In the Upper Room,56,16,68,45,contemporary,co,external_reference,"Twyla Tharp dynamic work"
Push Comes to Shove,52,14,62,42,contemporary,male,external_reference,"Tharp crossover piece"
The Catherine Wheel,48,12,58,38,contemporary,female,external_reference,"Tharp theatrical work"
Artifact,50,14,60,35,contemporary_mixed_bill,co,external_reference,"Forsythe abstract"
In the Middle Somewhat Elevated,55,18,70,45,contemporary,co,external_reference,"Forsythe signature work"
The Vertiginous Thrill of Exactitude,46,12,55,32,contemporary_mixed_bill,co,external_reference,"Forsythe neoclassical"
Woolf Works,52,16,65,42,contemporary,female,external_reference,"McGregor Virginia Woolf"
Chroma,48,14,60,38,contemporary_mixed_bill,co,external_reference,"McGregor/White Stripes"
Infra,50,16,62,40,contemporary,co,external_reference,"McGregor London-inspired"
After the Rain,54,18,68,48,contemporary,co,external_reference,"Wheeldon romantic duet"
Within the Golden Hour,52,15,65,45,contemporary_mixed_bill,co,external_reference,"Wheeldon abstract"
Polyphonia,48,12,58,38,contemporary_mixed_bill,co,external_reference,"Wheeldon Ligeti music"
West Side Story Suite,78,42,92,82,pop_ip,co,external_reference,"Bernstein classic - high recognition"
Sinatra Suite,65,28,78,72,pop_ip,male,external_reference,"Popular music crossover"
Movin' Out,72,35,85,78,pop_ip,male,external_reference,"Billy Joel - strong crossover"
The Times They Are A-Changin',60,25,72,68,pop_ip,co,external_reference,"Bob Dylan music"
Contact,58,22,70,55,contemporary,co,external_reference,"Susan Stroman theatrical"
