term,coefficient,abs_coefficient,standardized
intercept,8.109370054517473,8.109370054517473,True
ticket_median_prior,0.22649013476571433,0.22649013476571433,True
prior_run_count,-0.2129914343173998,0.2129914343173998,True
prior_total_tickets,0.19083641539810595,0.19083641539810595,True
is_remount_recent,-0.07492690455273454,0.07492690455273454,True
category_contemporary,-0.07463206907430295,0.07463206907430295,True
category_classic_romance,0.07057210608667375,0.07057210608667375,True
youtube,0.05444500287309906,0.05444500287309906,True
category_contemporary_mixed_bill,-0.050165766306402654,0.050165766306402654,True
holiday_flag,-0.04255227290674709,0.04255227290674709,True
category_pop_ip,-0.0365885229709312,0.0365885229709312,True
gender_female,-0.032798174016356506,0.032798174016356506,True
wiki,-0.03032991265747684,0.03032991265747684,True
category_classic_comedy,-0.02485574842321227,0.02485574842321227,True
years_since_last_run,-0.02446585202840991,0.02446585202840991,True
trends,0.021412696911352315,0.021412696911352315,True
category_family_classic,0.01790130472553451,0.01790130472553451,True
month_of_opening,0.011860479932333927,0.011860479932333927,True
chartmetric,0.010386924150530209,0.010386924150530209,True
category_touring_contemporary_company,-0.007969999923250313,0.007969999923250313,True
category_romantic_tragedy,0.00488190560851653,0.00488190560851653,True
gender_male,0.0035235086668116426,0.0035235086668116426,True
is_remount_medium,0.002291241974546474,0.002291241974546474,True
run_count_prior,0.0,0.0,True
